node_id	name	MXR_score	MXR_rank	Hetionet_score	Hetionet_rank	category	n_trials
Compound_DB00996	Gabapentin	0.0017869228755348	0	0.477	6	AIGD	7.0
Compound_DB00313	Valproic Acid	0.0016692759874633	1	0.409	10	AIGD	21.0
Compound_DB00273	Topiramate	0.0016536492479219	2	0.603	0	AIGD	35.0
Compound_DB00252	Phenytoin	0.0015762332984815	3	0.362	14	AIGD	12.0
Compound_DB00564	Carbamazepine	0.0015410390414547	4	0.341	18	AIGD	31.0
Compound_DB01174	Phenobarbital	0.0015379944366707	5	0.0971	46	AIGD	7.0
Compound_DB01068	Clonazepam	0.001524331438405	6	0.354	16	AIGD	5.0
Compound_DB00347	Trimethadione	0.0015194489332867	7	0.0701	61	AIGD	
Compound_DB06218	Lacosamide	0.0015151061643472	8	0.248	25	AIGD	34.0
Compound_DB00230	Pregabalin	0.0014979297675007	10	0.0347	83	AIGD	
Compound_DB00555	Lamotrigine	0.0014962776903818	11	0.222	27	AIGD	26.0
Compound_DB00819	Acetazolamide	0.0014934956262397	12	0.0527	69	AIGD	
Compound_DB00829	Diazepam	0.0014914109242581	13	0.46	7	AIGD	6.0
Compound_DB00794	Primidone	0.0014906916975727	14	0.494	4	AIGD	
Compound_DB00349	Clobazam	0.0014877283561107	15	0.214	28	AIGD	8.0
Compound_DB00776	Oxcarbazepine	0.0014823953931519	16	0.354	17	AIGD	16.0
Compound_DB00683	Midazolam	0.0014737741852795	17	0.33	19	AIGD	3.0
Compound_DB01351	Amobarbital	0.001472137047095	18	0.085	49	AIGD	
Compound_DB01320	Fosphenytoin	0.0014635627827587	19	0.246	26	AIGD	4.0
Compound_DB00949	Felbamate	0.0014629091721482	20	0.282	22	AIGD	
Compound_DB00909	Zonisamide	0.0014596032229489	21	0.127	33	AIGD	14.0
Compound_DB01202	Levetiracetam	0.0014438845048462	22	0.123	34	AIGD	81.0
Compound_DB06201	Rufinamide	0.0014321138339516	24	0.0305	96	AIGD	
Compound_DB00617	Paramethadione	0.0002790525231326	27	0.0469	73	AIGD	
Compound_DB06716	Fospropofol	0.0002759206954978	28	0.102	41	AIGD	
Compound_DB00703	Methazolamide	0.0002749446196443	29	0.0657	64	AIGD	
Compound_DB00241	Butalbital	0.000237355977623	32	0.0833	50	AIGD	
Compound_DB00321	Amitriptyline	0.0002209928143849	36	0.252	24	IGD	
Compound_DB00434	Cyproheptadine	0.0002163176262026	40	0.0397	78	IGD	
Compound_DB01435	Antipyrine	0.0002123606696653	41	0.0401	77	IGD	
Compound_DB00661	Verapamil	0.0002007519784067	50	0.0463	74	AIGD	3.0
Compound_DB00849	Methylphenobarbital	0.000137306049644	64	0.114	36	AIGD	
Compound_DB05246	Methsuximide	0.0001215763861424	65	0.434	8	AIGD	
Compound_DB00745	Modafinil	9.504565009456674e-05	67	0.0503	71	AIGD	
Compound_DB01121	Phenacemide	9.234461768948032e-05	69	0.0324	92	AIGD	
Compound_DB01437	Glutethimide	8.720350947379491e-05	70	0.0805	54	UNKD	
Compound_DB00754	Ethotoin	8.589559191005025e-05	71	0.589	1	AIGD	
Compound_DB00832	Phensuximide	7.927519521793924e-05	73	0.0487	72	AIGD	
Compound_DB00312	Pentobarbital	7.292497940938594e-05	75	0.147	29	AIGD	1.0
Compound_DB00237	Butabarbital	7.249968751777361e-05	76	0.133	30	AIGD	
Compound_DB00306	Talbutal	7.233885088599014e-05	77	0.115	35	AIGD	
Compound_DB00418	Secobarbital	7.021680010494162e-05	79	0.132	31	AIGD	
Compound_DB01353	Butethal	6.975172122424434e-05	80	0.104	39	AIGD	
Compound_DB01352	Aprobarbital	6.950113549184414e-05	81	0.0995	43	AIGD	
Compound_DB01354	Heptabarbital	5.966615985811605e-05	84	0.107	37	AIGD	
Compound_DB00404	Alprazolam	5.478140571111885e-05	90	0.565	3	AIGD	1.0
Compound_DB01215	Estazolam	5.34383973559052e-05	91	0.43	9	AIGD	
Compound_DB00897	Triazolam	5.339380708988112e-05	92	0.402	11	AIGD	
Compound_DB00842	Oxazepam	5.31945021256626e-05	93	0.381	12	AIGD	
Compound_DB00628	Clorazepate	5.25487813225782e-05	94	0.362	15	AIGD	
Compound_DB00690	Flurazepam	5.2053747062028725e-05	95	0.289	20	AIGD	
Compound_DB01567	Fludiazepam	5.136269928031211e-05	96	0.0877	48	AIGD	
